event,start_date,end_date
Jupiter Saturn Mars Triangle,2020-07-01,2020-07-31
Great Conjunction,2020-12-21,2020-12-21
Four Planet Alignment,2022-04-01,2022-05-31
Five Planet Alignment,2022-06-01,2022-06-30
