year,start_date,end_date
2019,2019-03-05,2019-03-28
2019,2019-07-07,2019-08-01
2019,2019-10-31,2019-11-20
2020,2020-02-16,2020-03-09
2020,2020-06-17,2020-07-11
2020,2020-10-13,2020-11-02
2021,2021-01-30,2021-02-20
2021,2021-05-29,2021-06-22
2021,2021-09-26,2021-10-18
2022,2022-01-14,2022-02-03
2022,2022-05-10,2022-06-03
2022,2022-09-09,2022-10-02
2022,2022-12-29,2023-01-18
2023,2023-04-21,2023-05-14
2023,2023-08-23,2023-09-15
2023,2023-12-13,2024-01-01
